Itemshop	00000240
Start	000006C5
enter	000006D3
set_a	00000716
item01	00000773
fm06a	0000077F
fade	000007AE
first	000007B6
start02	000009F6
event01	00000A8D
evacuate	00000AA0
out2	00000ACF
event02	00000B8F
set_b	00000BB7
item02	00000C28
item03	00000C34
fm06b	00000C40
event03	00000E61
event04	00000E89
event03_out	000012DD
set_e	00001305
item04	00001362
fm06e	0000136E
event05	00001376
event06	0000139E
set_c	000013C6
fm06c	0000142F
event07	00001437
event08	0000145F
set_d	00001487
fm06d	000014D0
event09	000014D8
encount1	00001500
e1_a	00001533
e1_b	0000154D
e1_c	00001567
e1_z	00001581
encount2	000015BC
encount3	00001626
e2_a	00001654
e2_b	0000166E
e2_z	00001688
run	000016C3
lose	000016CF
out	00001767
event99	00001793
e11_99	000017FC
Event04B	00001929
lose_boss	000019BC
victory	00001B32
event10	00001BBD
test	000035A7
ret	000035A7
