start	000003A5
enter	000003B3
CastleToSewer	000003F7
_CastleToSewer	0000040E
fm02a	00000437
set_2a	0000043F
event01	00000488
evacuate	0000049B
night_exit	000004FA
exit	00000525
event02	0000054C
toB	00000581
set_2b	000005AA
fm02b	00000627
event03	0000062F
event04	00000658
event05	00000658
event06	00000658
set_2f	000009A4
fm02f	00000A35
event07	00000A3D
event08	00000A66
event09	00000A8F
event10	00000A8F
event11	00000A8F
set_2e	00000D7A
item01	00000DFF
item02	00000E0B
item03	00000E17
fm02e	00000E23
event12	00000F66
event13	00000F8F
toG	00000FD0
set_2c	00000FF9
fm02c	0000102E
event14	000011A0
set_2g	000011C9
fm02g	00001212
event15	0000121A
event15a	0000146C
set_3d	00001495
item10	000014F2
set_3a	000014FE
fm03d	00001521
fm03a	00001529
event16	0000166C
event17	00001695
event18	000016BE
set_3b	000016E7
fm03b	00001744
event19	0000174C
event19a	00001786
event20	000017A7
event20a	000017E1
event21	00001802
set_3c	0000182B
fm03c	00001874
event22	0000187C
event23	000018A5
_event23	000018B2
EnterCastle	000018CA
MeetWeiser	00001BA5
WeiserBattle	000027A8
WeiserWin	000028CC
WeiserLose	00003216
Gouryu_Sheryl	00003A25
encount1	00003D32
btl01	00003D68
btl02	00003D85
btl03	00003DA2
battle	00003DBF
encount2	00003DEE
btl11	00003E24
btl12	00003E42
btl13	00003E60
battle2	00003E7E
run	00003EAD
lose	00003EB9
out	00003EBF
ret	00003EEB
