start	0000021E
enter	00000232
set_b	00000290
item01	00000314
item02	00000320
run	0000032C
out	00000346
fm01bb	00000364
battle01	000003BE
battle02	000005F0
battle03	0000089D
guillotine	00000B13
begin	00000C12
event01	00000FBB
event02	00000FBB
event03	00000FBB
event04	00000FBB
battle	00000FC4
btl01	00001004
btl02	00001022
btl03	00001040
btl04	0000105E
battle1	0000107C
clr01	000010CB
clr02	000010DA
clr03	000010E9
clr04	000010F8
next	00001107
lose	00001117
event90	00001174
tmp90	000011A2
tmp91	000011A8
kitty90	000011FF
revenge	0000192A
run90	000019C7
lose90	00001A95
Life0	00001B75
BeatGuillotine	00001B9F
win90	00002062
church	00002293
boss	0000240B
Kitty99	0000248E
Lose99	00002683
Win99	0000274B
weiser	00003DC6
LoseDra	00003ED1
BeatWeiser	00003FF2
WinDra	00004147
ret	00004C81
