True
Top	00000257
tmpSh	0000029C
Shoping	000002BF
Job_Pro	0000032E
Job_act1	00000335
Job_04	00000335
Tmp0401	00000396
Tmp0402	000003BC
Job_act2	000003D2
Job_11	000003D2
Job_act3	00000406
Job_act4	00000406
Job_act5	00000406
Job_xx	00000406
main	0000040D
Prologue	00000445
L01	00000493
L02	00000808
L03	00000A65
L04	00000D9D
act1	000010BD
L11	00001105
L12	00001383
L13	000015FA
L14	00001BD6
act2	00001D34
Job_20	00001D44
tmp2001	00001D6B
L21	00001DA3
L22	00001F69
L23	000021D9
L24	000025C3
sel1	0000289B
buy	000029A6
NoMoney	00002B5F
tmp01	00002C02
act3	00002CD5
L31	00002D1D
L32	00002EB3
L33	00003049
L34	0000323D
act4	000033C4
L41	00003418
L42	0000356D
L43	000038BA
L44	00003AA0
L45	00003C54
act5	00003D18
L_Default	00003D18
Default	00003D7D
Exit1X	00003DFA
Exit2X	00003E2E
Default_X	00003E5F
Exit	00003E8F
Exit1	00003EA5
Exit2	00003EDD
Draw	00003F26
test	00003F3A
for	00003F4C
next	00003F82
ret	00003F90
