True
Opening	00000158
Opening1	0000017A
Opening2	000005AE
SetAnego	00000656
sa1	000006D7
sa2	000006EF
sa3	00000707
sa4	0000071F
sa5	00000737
sa6	0000074F
item01	00000767
item02	00000773
start	0000077F
enter	0000079D
fm01aa	000007EA
fade	00000819
Stage1	00000821
Stage2	0000097F
Battle	00000AB7
e05_01	00000B1B
run	00000C31
lose	00000C49
evacuate	00000D4B
out	00000E43
event01	00000E61
mena1	00000E7F
mena1_a	00000EC6
mena1_btl	00000F80
mena2	00001016
mena3	0000112B
event02	0000133E
test	00001EB7
ret	00001EBF
