True
Opening	000002BA
Opening2	000008C4
start	000009A2
enter	000009B0
set_s	00000A08
fm04ss	00000A3C
fade	00000AAD
first	00000AB5
event01	00000C67
evacuate	00000CA2
event02	00000D95
encount	00000DBE
btl01	00000DF4
btl02	00000E13
btl03	00000E32
btl_start	00000E51
run	00000E8C
lose	00000E98
out	00000F11
set_j	00000F3D
fm04jj	00000F85
event03	00000F8D
event04	00000FB6
event08	00000FDF
set_m	00001008
fm04mm	0000103C
event05	00001044
item01	0000106D
set_p	00001079
fm04pp	000010AD
event06	0000125B
event07	00001284
set_q	000012AD
fm04qq	00001309
event10	00001311
event11	0000133A
event12	00001363
event13	0000138C
set_x	000013B5
fm04xx	000013E9
event14	000013F1
item02	0000141A
set_h	00001426
fm04hh	0000145A
event15	00001462
item03	0000148B
set_g	00001497
fm04gg	000014CB
event16	000014D3
event17	000014FC
set_i	00001525
fm04ii	00001559
event18	000016F9
event19	00001722
set_r	0000174B
fm04rr	0000177F
event20	00001787
event99	000017B0
find	000018A9
e06_99	00001A29
battle	00001C7E
Job_After	00002840
ret	00002CEB
