True
Church	000002AB
Church2	00000710
Grave	00000805
start	000008A8
enter	000008C6
Event01B	00000B82
Event01C	00000C3B
Map	00000CA3
set_a	00000CE8
event01	00000DA0
event02	00000DA0
evacuate	00000DB3
fade	00000E68
event03	00000E7E
event04	00000EAF
event05	00000EE0
event06	00000F11
event07	00000F42
fm08a	00000F73
tmp00	00000F87
fm08b	00000F8F
fm08c	00000F8F
fm08d	00000F8F
fm08e	00000F8F
fm08f	00000F8F
tmp01	00000FA3
set_b	00000FAB
event10	00000FEB
set_c	00001013
event11	00001053
set_d	0000107B
event12	000010BB
set_e	000010E3
event13	00001123
set_f	0000114B
event14	0000118B
event99	000011B3
e13_99	0000121B
Stage02	0000157C
run	00001611
lose	0000161D
Stage03	00001684
encount	00001BB9
btl01	00001BEF
btl02	00001C0E
btl03	00001C2D
btl_start	00001C4C
event20	00001C87
v20	00001CEB
event21	00001D1A
v21	00001D7E
event22	00001DAD
v22	00001E11
event23	00001E40
v23	00001EA4
event24	00001ED3
v24	00001F37
seal	00001F66
1st	00001FA6
2nd	00002023
3rd	00002094
4th	0000210F
Last	00002195
out	00002BD8
ret	00002BF6
