True
Opening	000002D0
Opening2	00001142
start	000011D5
enter	000011E3
enter2	0000124C
set_4i	00001291
fade	000012C5
fm04ii	000012CD
enter3	000013F7
event01	000014CE
evacuate	00001514
event02	000015FF
encount1	00001629
btl01	0000165F
btl02	0000167E
btl03	0000169D
btl_start	000016BC
encount2	000016F7
btl10	00001727
btl11	00001747
btl_start2	00001767
run	000017A2
lose	000017AE
out	00001819
set_4g	00001845
fm04gg	00001879
event03	00001881
event04	000018AB
set_4t	000018D5
fm04tt	00001909
event05	00001911
event06	0000193B
set_4o	00001965
fm04oo	00001999
event07	000019A1
event08	000019CB
set_4l	000019F5
fm04ll	00001A29
event09	00001A31
event98	00001A5B
e14_98	00001AD1
Revenge01	00001BBB
Lose01	00001C6B
BeatDebo	00001D5C
penpen	00002068
e14_90	000020D1
Revenge02	00002342
Lose02	000023D9
BeatPenpen	0000245B
set_9a	00002F85
item01	00002FCD
fm09a	00002FD9
event20	000030B3
set_9b	000030DC
item02	00003124
fm09b	00003130
event21	00003138
event99	00003161
e14_99	000031C7
Revenge04	0000321C
Lose03	00003268
Stage05	000032E2
ret	000038AB
