True
Prologue	000003C4
Opening	00000C76
start	00001AD1
enter	00001AE5
set_i	00001B3A
event01	00001B6E
evacuate	00001B81
fm04i	00001CFE
fm04i_a	00001D2C
restart	00001FFC
first	00002140
event02	0000262A
encount	00002658
btl01	0000269C
btl02	000026BB
btl03	000026DA
btl_start	000026F9
run	00002966
out	00002972
fm04q	00002998
chuckle	00002C19
_set_q	00002E17
set_q	00002E73
set_q0	00002ECA
root1	00002EF2
root2	00002F0C
root3	00002F26
sylph1	00002F40
event04	00002F58
_event04	00002F89
sylph2	00002FB1
event06	00002FC9
_event06	00002FFA
sylph3	00003022
event08	0000303A
_event08	0000306B
event05	00003093
_event05	00003099
event05a	000030E4
event05b	000030FA
event05z	00003105
event07	0000311B
_event07	00003121
event09	00003149
_event09	0000314F
event09a	000031AB
event09b	000031C1
event09z	000031CC
event10	000031E2
event11	0000320A
event12	00003249
event13	00003288
set_o	000032C7
fm04o	000032FB
event21	00003485
event21z	00003531
event22	00003559
set_l	00003581
fm04l	000035C1
event23	000035C9
event98	000035F1
set_m	000037DE
fm04m	00003812
event24	0000381A
item01	00003842
set_t	0000384E
fm04t	00003882
event25	0000388A
event26	000038B2
set_n	000038DA
fm04n	0000390E
event27	00003916
event28	0000393E
set_w	00003966
fm04w	0000399A
event29	000039A2
e15_99	000039CA
event99	00003B08
PS	00003FEE
lose	00004427
return	000045BB
Job_After_Win	000045C1
Job_After_Lose	00004B6D
ret	00005719
