True
start	000002DC
enter	000002EA
set_c	00000342
fm04cc	0000039E
event01	000003A6
evacuate	000003E3
event02	00000413
event03	0000043C
event04	00000465
set_t	0000048E
fm04tt	000004C2
event05	000004CA
event06	000004F3
set_u	0000051C
item01	00000550
fm04uu	0000055C
event07	00000564
set_g	0000058D
fm04gg	000005C1
event08	000005C9
event09	000005F2
set_q	0000061B
fm04qq	00000677
event10	0000067F
event11	000006A8
event12	000006D1
event13	000006FA
set_x	00000723
item02	00000757
fm04xx	00000763
event14	0000076B
set_r	00000794
item03	000007C8
fm04rr	000007D4
event15	000007DC
set_k	00000805
item04	00000839
fm04kk	00000845
event16	0000084D
set_j	00000876
fm04jj	000008BE
event17	000008C6
event18	000008EF
event19	00000918
set_o	00000941
fm04oo	00000975
event20	0000097D
event21	000009A6
set_w	000009CF
item05	00000A03
fm04ww	00000A0F
event22	00000A17
set_l	00000A40
item06	00000A74
fm04ll	00000A80
event23	00000A88
encount	00000AB1
btl01	00000AF3
btl02	00000B13
btl03	00000B33
btl04	00000B53
btl05	00000B73
btl_start	00000B93
run	00000BCE
lose	00000BDA
out	00000C4E
