True
start	000001DA
enter	000001F8
set_a	00000249
event01	000002E1
event02	000002E1
evacuate	000002F4
fade	00000325
event03	0000033B
event04	0000036C
event05	0000039D
event06	000003CE
event07	000003FF
fm08a	00000430
fm08b	00000430
fm08c	00000430
fm08d	00000430
fm08e	00000430
fm08f	00000430
set_b	00000438
item01	0000046C
event10	00000478
set_c	000004A0
item02	000004D4
event11	000004E0
set_d	00000508
item03	0000053C
event12	00000548
set_e	00000570
item04	000005A4
event13	000005B0
set_f	000005D8
item05	0000060C
event14	00000618
run	00000640
lose	0000064C
encount	000006F7
btl01	00000739
btl02	00000759
btl03	00000779
btl04	00000799
btl05	000007B9
btl_start	000007D9
out	00000814
ret	00000832
