True
start	000006F9
enter	00000707
SewerToCastle	00000789
_SewerToCastle	000007A0
set_5b	000007C9
item01	00000989
fm05b	00000995
fm05b1	00000A04
event01	00000A08
event02	00000A08
event03	00000A08
event04	00000A08
evacuate	00000A1B
night_exit	00000A7C
exit	00000AA7
event05	00000ADC
event06	00000ADC
event07	00000ADC
event08	00000ADC
event09	00000ADC
05a	00000B2D
05l	00000B4E
event10	00000B6F
event11	00000B6F
event12	00000B6F
event13	00000B6F
event14	00000B6F
10a	00000BD2
10l	00000BF3
event15	00000C14
event16	00000C14
event17	00000C14
UpStair	00000C55
set_5n	00000C76
set_5a	00000CF2
set_5l	00000D1D
fm05n	00000D40
fm05a	00000D40
fm05l	00000D40
event18	00000F5B
event19	000013DB
event20	00001404
event21	00001443
_event21	00001450
event22	00001468
event23	000014A6
Sheryl_Back	000014B2
23a	00001546
event25	0000156F
set_5o	00001598
fm05o	000015D8
event24	000016D5
24a	0000171D
24l	00001752
event55	00001773
set_5k	0000298D
item09	000029C1
fm05k	000029CD
event26	000029E7
26a	00002A28
26l	00002A49
set_5m	00002A6A
fm05m	00002AFE
event27	00002B32
event28	00002B32
event29	00002B32
set_5c	00002B5B
fm05c	00002C2B
event30	00002C33
event31	00002C33
event32	00002C33
event33	00002C5C
event34	00002C5C
event35	00002C5C
set_5d	00002C85
item02	00002D9C
fm05d	00002DA8
event36	00002DB0
event37	00002DB0
event38	00002DB0
event39	00002DD9
event40	00002DD9
event41	00002DD9
set_5e	00002E02
item03	00002EF4
fm05e	00002F00
event42	00002F08
event43	00002F08
event44	00002F08
event45	00002F31
event46	00002F31
set_5f	00002F7F
fm05f	00002FB3
event47	00002FDD
event48	0000301B
set_5g	0000304C
fm05g	00003080
event49	00003088
event50	000030B9
set_5h	000030EA
fm05h	0000311E
event51	00003126
event52	00003157
set_5i	00003188
fm05i	000031BC
event53	000031C4
event54	000031F5
set_5j	0000321E
fm05j	00003252
SetOnly	000032CC
event56	000032DE
set_10a	00003307
item05	0000334F
fm10a	0000335B
event60	00003375
event61	000033B3
set_10b	000033DD
fm10b	00003411
event62	00003419
event63	00003443
set_10c	0000346D
item06	000034C9
item07	000034D5
fm10c	000034E1
event64	000034FB
event65	00003525
set_10d	0000354F
fm10d	0000358F
event66	00003597
event67	000035C1
event99	000035DF
encount1	00003623
btl11	00003659
btl12	00003678
btl13	00003697
battle3	000036B6
encount2	000036E5
btl01	0000371B
btl02	00003739
btl03	00003757
battle1	00003775
encount3	000037A4
btl21	000037D4
btl22	000037F3
battle2	00003812
encount4	00003841
btl41	00003871
btl42	00003893
battle4	000038B5
run	000038E4
lose	000038F0
lose2	0000392C
out	00003990
terrace	000039D0
terrace2	000039E9
morgue	00003A3B
morgue2	00003A4B
ret	00003A91
