True
Top	00000309
for	0000032D
next	00000377
Job_FireWorks	000003AD
tmp_Ben1	000003D7
Tmp_Ben2	00000414
Love_Aoi1	00000444
Love_Aoi2	0000048C
Nextday	000004B2
Night1800	000004C9
tmpNight1800	000004F9
Night1900	00000513
Night2000	00000523
tmpNight2000	00000564
Night2100	00000574
Night2200	00000584
Move	00000594
1f	0000059F
2f	000005E4
1f_set	0000061C
tmpLibrary	0000070B
2f_set	0000071C
1f_draw	000007BC
tmp_dr1	000007D8
2f_draw	000007EF
tmp_dr2	0000080B
Girl_set	00000822
Gset1900	00000856
Gset1900B	00000878
tmp1902	000008D0
tmp1900	000008E6
tmp1901	000008F2
Gset2000	0000090E
tmp2003	0000096C
tmp2004	00000990
tmp2002	000009C0
tmp2000	000009D6
tmp2001	000009E2
Gset2100	000009F2
Gset2200	00000A32
Goto	00000A72
R_Cliff	00000AF1
R_Mena	00000B0C
R_Sheryl	00000B26
R_Aoi	00000B42
R_A_Tmp	00000BAC
R_Lucy	00000BC5
tmpR_Lucy	00000C08
R_Kitty	00000C22
R_Will	00000C3D
R_Hall	00000C57
R_Dining	00000C57
Terrace	00000C73
R_Bath	00000C73
R_Kitchen	00000C8D
R_Mechroom	00000C8D
Town	00000C94
Job_28	00000C9A
NowPubBath	00000D11
ToMap	00000D66
To_Job28	00000DF6
Job_xx	00000E10
test	00000E14
ret	00000E14
