True
Top	000003A1
for	000003C5
Day_Mena	0000041C
Day_Aoi	0000043A
Day_Lucy	00000459
Day_Kitty	00000477
Day_Sheryl	00000495
tmpfor	000004B3
tmpfor1	000004DD
tmpfor2	00000502
next	0000054C
Tmp	00000578
LAST_Mena	000005C6
M01	000005C6
TmpM01	0000060A
M02	00000628
M04	00000672
LAST_Lucy	00000691
L01	00000691
LAST_Kitty	000006EF
K1	000006EF
LAST_Aoi	00000705
A2	00000705
A3	00000752
LAST_Sheryl	0000075C
Nextday	0000075C
Night1800	00000773
Night1900	0000078D
Night2000	0000079D
Night2100	000007AD
Night2200	000007BD
Move	000007CD
1f	000007D8
2f	0000081D
1f_set	00000855
tmpLibrary	00000944
2f_set	00000955
1f_draw	000009F5
Mus_Sh1	00000A31
tmp_dr1	00000A53
2f_draw	00000A64
Mus_Sh2	00000AA0
tmp_dr2	00000AC2
Girl_set	00000AD3
Gset1900	00000B07
Gset1900B	00000B29
TmpGset1900_1	00000B8B
TmpGset1900_2	00000B97
Gset2000	00000B9B
tmp2002	00000BC1
tmp2003	00000BCD
tmp2000	00000C17
tmp2001	00000C23
Gset2100	00000C27
Gset2200	00000C67
Goto	00000CA7
R_Cliff	00000D26
R_Mena	00000D41
R_Sheryl	00000D5B
R_Aoi	00000D77
R_Lucy	00000D90
tmpR_Lucy	00000DD3
R_Kitty	00000DED
R_Will	00000E08
R_Hall	00000E22
R_Dining	00000E22
Terrace	00000E3E
R_Bath	00000E3E
R_Kitchen	00000E58
R_Mechroom	00000E58
Town	00000E5F
Job_28	00000E65
NowPubBath	00000EDC
ToMap	00000F31
tmp_dr3	00000F53
To_Job28	00000FD3
Job_xx	00000FED
test	00000FF1
ret	00000FF1
