True
Top	000002A3
Love_Mus	000002FD
Kitty	0000030F
Main	0000030F
Act3	00000384
tmpKitty_root	000003CD
act3tmp01	00000421
act3tmp02	00000442
K31	00000468
K32	0000067F
K33	0000085E
K34	00000A19
Kitty_Pastel	00000D67
Pastel	00000F8F
Kitty_root	00001A8C
sel1	00001EC3
miss	00001F0C
root	00002046
Act4	00002740
K41	00002797
K42	00002A4A
K42_tmp	00002A96
Tmp_Mena1	00002B2B
Tmp_Sheryl1	00002B76
Tmp_Aoi1	00002BC3
Tmp_Lucy1	00002C0D
Tmp_Gouryu1	00002C58
K43	00002D52
Tmp_Mena2	00002DEA
Tmp_Sheryl2	00002E22
Tmp_Aoi2	00002E5C
Tmp_Lucy2	00002E93
Tmp_Gouryu2	00002ECB
K44	00003016
Tmp_Mena3	000030BA
Tmp_Sheryl3	00003101
Tmp_Aoi3	0000314A
Tmp_Lucy3	00003190
Tmp_Gouryu3	000031D7
Act4_2	00003410
K45	00003449
Kitty_Sex45	0000360D
K46	0000372C
K47	000038C8
Kitty_Sex47	00003A62
K48	00003B40
Kitty_Sex48	00003C95
K49	00003DD9
Default	00003F67
K_Default	00003FFC
KL_Default	0000409A
Kitty_sex	000041E4
N_Default	000042B5
Draw	0000430E
test	0000431F
for	00004337
ret	00004345
